dept,date,interest,reviewText,helpcount,nothelpcount
Chemistry,11/24/2014,It's my life,He is the best professor I have ever had and all of my friends are jealous that I got to take his class and they didnt  If the fact that you get to listen to his British accent for an hour three times a week doesnt convince you then idk what will  He is funny and engaging and he makes it so easy to follow along with some tough material  ,0,0
Sociology,04/18/2008,Really into it,I love this class  It very interesting  Good movies during lecture  The tests are very fairand easyclicker questions make class mandatorybut they are easyand there is extra credit  one paper7 pages annoying to write but not hard,1,0
Religion,04/09/2007,Really into it,Very knowledgeable and great lesson plans,0,0
Horticulture,07/21/2010,It's my life,Sister Bass taught in a fun but professional manner Shes clear about what she wants from her students and expects them to behave like adults The work load she gives is moderate but she rewards for going above and beyond whats expected I wish I had more teachers like her,0,0
Mathematics,01/13/2012,Really into it,Such a nice professor He helped me a lot before the final and his grading was very fair,0,0
Business,08/14/2008,Really into it,This is the most useful class that I have taken at BYU If you dont need this class to get into your major I suggest that you take the class in summer when its less competitive If you take your papers to Sis Rockwood before its due she will go over it and find any grammar mistakes which is really helpful I strongly recommend this teacher,0,0
Chemistry,05/01/2012,It's my life,Matt is an excellent lecturer He goes above and beyond what is required of him Really an exceptional guy quite knowledgeable in his field and inspirational for those with a deeper interest in the subject  Dropped some epic one liners about recreational use of substances in lecture too,0,0
Physics,12/08/2010,Meh,I am not a science fanatic but being in Brother Hansens class has made it so I think about science in my everyday life more than I did before He is an awsome professor I would definatly take another class from him,0,0
Religion,04/18/2007,It's my life,Sister Bensons class is based entirely on doctrine She expects you to know your stuff but you should be fine if you come to class and do the readings  Tests are hard but you can retake  Expect some memorization but shell warn you in advance about what you need to know  And dont let your cell phone go off in classit will cost you donuts,0,0
English,07/25/2010,It's my life,Amazing teacher  She is one of the funniest people that is on this campus  Ask her about TV shows and she will give you the best advice EVER on what to watch  If you are having problems go in and talk to her and she will pull all the strings that she possibly can to get you all the help that you need  STRONGLY RECOMMEND,0,0
Communication Disorders,11/02/2009,Sorta interested,Difficult material but Dr Fujiki answers questions and tries his very best He will learn everyones names One of the few good ComD professors,0,0
Biology,12/09/2014,Sorta interested,He is a great teacher who really wants his students to grasp what is going on He really works with students and knows the information,0,0
English,12/05/2005,It's my life,I LOVED this class Prof Muhlestein is my favorite English prof at BYU and I like all that Ive had so thats saying a lot The material is hefty and he talks so fast the only way you can get comprehensive notes is to have study groups and put all of your heads together but the class was so eye opening and very entertaining Its a MUST TAKE,0,0
